FUEL,Fuel1,Fuel2,BP_KW,BTE%,cf_value
DIESEL,16.46,0,1.85,18.86,42500
DIESEL,20.11,0,3.28,27.39,42500
DIESEL,28.18,0,5.07,30.24,42500
CNSL,12.81,0,1.09,15.92,35800
CNSL,19.13,0,2.49,24.37,35800
CNSL,8.91,0,4.63,27.37,35800
CNSL,8.37,0,5.53,23.14,35800
CARDANOL,26.28,0,1.1,9.6,38400
CARDANOL,33.83,0,2.1,10.52,38400
BUTANOL10,17.658,1.962,1.22,10.47,34500
BUTANOL10,22.041,2.449,1.92,13.16,34500
BUTANOL10,27.756,3.084,3.16,17.17,34500
BUTANOL10,26.955,2.995,3.78,21.16,34500
BUTANOL20,15.264,3.816,1.03,9.36,34200
BUTANOL20,18.224,4.556,2.14,16.2,34200
BUTANOL20,22.4,5.6,3.16,19.48,34200
BUTANOL30,16.912,7.248,1.56,11.38,33800
BUTANOL30,18.648,7.992,2.14,14.18,33800
BUTANOL30,23.429,10.041,3.17,16.76,33800
BUTANOL30,9.324,3.996,3.35,44.52,33800
BUTANOL40,11.994,7.996,1.36,12.36,33500
BUTANOL40,14.682,9.788,2.12,15.82,33500
BUTANOL40,17.604,11.736,3.15,19.59,33500
BUTANOL40,21.522,14.348,3.54,18.01,33500
METHANOL30,6.909,2.961,1.12,18.99,32000
METHANOL30,17.094,7.326,2.34,16.12,32000
METHANOL30,20.86,8.94,3.05,17.2,32000
METHANOL30,28.042,12.018,4.14,17.36,32000
METHANOL30,35.945,15.405,3.97,13.01,32000
ETHANOL20,13.992,3.498,1,10.76,35300
ETHANOL20,15.432,3.858,1.87,18.28,35300
ETHANOL20,19.744,4.936,3.36,25.67,35300
ETHANOL20,24.288,6.072,4.1,25.46,35300
ETHANOL20,17.776,4.444,4.39,37.26,35300
METHANAL10,18.891,2.099,1.17,9.64,34500
METHANAL10,20.421,2.269,2.2,16.98,34500
COCO20,12.504,3.126,0.99,11.5,36700
COCO20,14.92,3.73,2,19.44,36700
COCO20,19.432,4.858,3.15,23.49,36700
COCO20,22.616,5.654,4,25.61,36700
COCO20,20.848,5.212,4.22,29.31,36700
COCO30,10.143,4.347,1.23,15.64,36300
COCO30,12.621,5.409,2.3,23.56,36300
COCO30,15.365,6.585,3.13,26.38,36300
COCO30,20.958,8.982,4.13,25.51,36300
COT20,10.528,2.632,1.31,16.45,36500
COT20,13.944,3.486,2.08,19.77,36500
COT30,11.277,4.833,1.02,10.93,36700
COT30,12.978,5.562,2.08,19.46,36700
COT30,17.031,7.299,3.12,22.23,36700
COT30,25.935,11.115,4.06,18.97,36700
OP20,11.416,2.854,1.1,13.14,37600
OP20,13.968,3.492,2.25,21.93,37600
OP20,16.656,4.164,3.04,24.79,37600
OP30,9.555,4.095,1.12,13.97,38000
OP30,11.963,5.127,2.22,22.05,38000
OP30,14.924,6.396,3.13,24.94,38000
OP30,20.972,8.988,4.21,23.88,38000
OP30,22.008,9.432,4.32,23.33,38000
DMC10,19.053,2.117,1.13,10.89,35000
DMC10,23.886,2.654,2.22,17.14,35000
DMC10,33.264,3.696,3.29,18.2,35000
CM20,4.936,1.234,1.11,10.5,36300
CM20,12.936,3.234,1.68,12.18,36300
CM20,19.376,4.844,2.05,12.27,36300
CM30,10.843,4.647,1.23,14.18,37500
CM30,12.117,5.193,2.08,21.39,37500
CM30,13.272,5.688,3.09,29.01,37500
DEE20,12.488,3.122,1.12,12.76,36800
DEE20,16.48,4.12,2.04,17.67,36800
DEE20,20.584,5.146,3.14,21.77,36800
DEE20,29.072,7.268,4.16,20.4,36800
DEE30,10.409,4.461,1.13,13.97,38400
DEE30,12.425,5.325,1.99,20.6,38400
DEE30,16.268,6.972,3.05,24.2,38400
DEE30,24.983,10.707,4.2,21.67,38400
DEE30,32.508,13.932,3.05,12.08,38400
DIESEL20,12.424,3.106,1.13,12.71,36800
DIESEL20,14.88,3.72,2.11,19.81,36800
DIESEL20,18.272,4.568,3.2,24.48,36800
DIESEL20,27.12,6.78,4.05,20.92,36800
DIESEL30,11.375,4.875,1.12,12.15,37600
DIESEL30,13.811,5.919,2.19,19.51,37600
DIESEL30,16.954,7.266,3.28,23.8,37600
DIESEL30,25.935,11.115,3.98,18.91,37600
